GeoID,Tract,TotalPop,MalePopulation,FemalePop,Age65andOver,WhiteOnly,BlackOnly,AIANOnly,AsianOnly,AsianIndian,AsianChinese,AsianFilipino,AsianJapanese,AsianKorean,AsianVietnamese,NHPIOnly,OtherRaceOnly,TwoOrMoreRaces,HispanicPop,EligibleVote,PercentofEligible2019
53033004000,"Census Tract 40, King County, Washington",3236,1486,1750,442,2325,332,0,302,10,182,11,22,39,14,27,22,228,52,2300,0.91
53033004100,"Census Tract 41, King County, Washington",8102,4137,3965,1445,6548,97,4,942,37,636,16,46,164,4,23,1,487,240,5499,0.91
53033004200,"Census Tract 42, King County, Washington",8100,3752,4348,1357,6891,151,36,768,20,333,22,86,82,118,0,40,214,270,5909,0.91
53033004301,"Census Tract 43.01, King County, Washington",4047,1907,2140,441,2836,82,26,726,35,432,47,17,16,30,0,85,292,293,2892,0.73
53033004302,"Census Tract 43.02, King County, Washington",4046,2302,1744,351,2302,116,0,1211,165,528,30,81,130,40,0,33,384,161,3025,0.44
53033004400,"Census Tract 44, King County, Washington",7664,3905,3759,392,5698,267,0,1035,152,504,37,30,181,63,0,216,448,666,6217,0.68
53033004500,"Census Tract 45, King County, Washington",3388,1875,1513,202,2485,58,6,479,125,207,14,0,34,59,0,121,239,222,2639,0.79
53033004600,"Census Tract 46, King County, Washington",3627,1704,1923,402,3250,49,20,217,48,74,9,29,8,20,0,18,73,85,2701,0.88
53033004700,"Census Tract 47, King County, Washington",10303,5258,5045,981,8205,176,0,1249,28,696,100,88,100,93,0,57,616,637,8649,0.91
53033004800,"Census Tract 48, King County, Washington",5415,2745,2670,380,4495,45,29,416,32,214,17,31,66,8,0,74,356,146,4447,0.91
53033004900,"Census Tract 49, King County, Washington",7489,3842,3647,549,6469,15,18,520,92,134,61,0,70,21,0,111,356,372,6459,0.85
53033005000,"Census Tract 50, King County, Washington",4404,1944,2460,401,3434,270,16,344,41,19,140,49,43,0,26,40,274,254,3648,0.91
53033005100,"Census Tract 51, King County, Washington",3687,1798,1889,407,3066,116,8,228,7,91,34,34,35,6,8,71,190,185,2876,0.91
53033005200,"Census Tract 52, King County, Washington",6916,3969,2947,378,3613,274,0,2418,352,1313,23,206,312,135,17,93,501,319,4397,0.6
53033005301,"Census Tract 53.01, King County, Washington",8829,4548,4281,109,3613,358,180,3759,515,1848,92,78,751,179,23,151,745,370,5968,0.39
53033005302,"Census Tract 53.02, King County, Washington",5926,2634,3292,0,2699,226,35,2220,298,1124,114,85,242,83,34,83,629,407,4648,0.19
53033005400,"Census Tract 54, King County, Washington",6417,3294,3123,501,5004,141,0,779,155,200,70,115,167,54,0,27,466,269,5344,0.91
53033005600,"Census Tract 56, King County, Washington",7038,3277,3761,1467,6017,35,13,441,77,177,0,84,76,0,96,73,363,333,5028,0.91
53033005700,"Census Tract 57, King County, Washington",6851,3499,3352,908,5805,88,18,575,149,142,121,85,0,50,0,50,315,421,4994,0.9
53033005801,"Census Tract 58.01, King County, Washington",5784,3240,2544,545,4713,162,0,725,217,276,62,77,93,0,0,33,151,545,4336,0.9
53033005802,"Census Tract 58.02, King County, Washington",6263,3244,3019,623,4359,474,0,883,146,121,51,89,30,48,2,0,545,327,4795,0.81
53033005900,"Census Tract 59, King County, Washington",8137,3812,4325,517,6141,120,9,813,47,378,102,103,102,17,0,139,915,349,6393,0.67
53033006000,"Census Tract 60, King County, Washington",6300,3113,3187,764,5099,140,62,508,185,111,72,37,10,0,0,57,434,237,5059,0.85
53033006100,"Census Tract 61, King County, Washington",5412,2642,2770,511,4286,65,0,718,115,268,19,52,79,140,0,17,326,83,4644,0.89
53033006200,"Census Tract 62, King County, Washington",4536,2307,2229,690,3885,75,0,274,111,93,0,16,26,10,0,70,232,198,3432,0.91
53033006300,"Census Tract 63, King County, Washington",5851,2739,3112,1364,5237,101,0,180,36,25,66,0,48,5,0,17,316,44,4536,0.91
53033006400,"Census Tract 64, King County, Washington",3739,1769,1970,459,3101,62,38,231,132,45,13,12,18,0,24,13,270,123,2630,0.91
53033006500,"Census Tract 65, King County, Washington",4926,2592,2334,684,4090,22,10,368,62,117,43,62,49,15,15,80,341,311,4083,0.91
53033006600,"Census Tract 66, King County, Washington",4261,2114,2147,282,3277,90,16,569,297,127,38,33,74,0,0,43,266,146,3564,0.82
53033006700,"Census Tract 67, King County, Washington",9365,4967,4398,735,6164,147,0,2665,1292,842,52,282,28,0,0,0,389,405,6521,0.89
53033006800,"Census Tract 68, King County, Washington",3472,1615,1857,340,2970,0,0,372,40,148,75,19,76,14,0,47,83,126,2432,0.91
53033006900,"Census Tract 69, King County, Washington",5164,2384,2780,677,4429,0,16,387,134,68,83,31,38,0,0,59,273,227,3966,0.86
53033007000,"Census Tract 70, King County, Washington",7492,3435,4057,1205,5782,208,109,757,25,419,0,81,109,66,34,31,571,418,6732,0.79
53033007100,"Census Tract 71, King County, Washington",5301,2826,2475,341,3346,272,144,871,426,164,19,14,131,100,0,370,298,644,3831,0.91
53033007200,"Census Tract 72, King County, Washington",11293,6652,4641,711,6352,495,147,3372,1771,746,182,171,195,41,0,73,854,689,7750,0.91
53033007300,"Census Tract 73, King County, Washington",8480,4928,3552,882,4803,802,7,2053,620,859,126,32,291,0,50,164,601,795,6232,0.91
53033007401,"Census Tract 74.01, King County, Washington",5662,3286,2376,238,3966,166,0,1132,309,411,85,50,110,48,0,35,363,380,4862,0.91
53033007402,"Census Tract 74.02, King County, Washington",5702,3435,2267,238,3837,354,0,765,403,149,51,78,69,0,0,125,621,349,4881,0.78
53033007500,"Census Tract 75, King County, Washington",9387,4963,4424,344,7106,296,0,892,246,251,2,75,157,43,0,232,861,518,8095,0.91
53033007600,"Census Tract 76, King County, Washington",4569,2283,2286,544,3700,145,0,406,35,70,9,35,0,183,0,17,301,376,3911,0.91
53033007700,"Census Tract 77, King County, Washington",5475,2696,2779,452,3900,725,68,242,0,32,95,76,16,23,0,128,412,398,4214,0.91
53033007800,"Census Tract 78, King County, Washington",5900,3036,2864,893,4747,350,13,260,65,54,25,34,28,0,0,14,516,208,4483,0.91
53033007900,"Census Tract 79, King County, Washington",6434,3234,3200,773,4811,719,125,415,100,126,45,20,25,0,2,108,254,348,5402,0.91
53033008001,"Census Tract 80.01, King County, Washington",7183,4176,3007,760,4925,98,25,1680,766,553,0,89,96,43,0,59,396,476,5257,0.76
53033008002,"Census Tract 80.02, King County, Washington",3785,2119,1666,471,2356,329,58,785,104,353,83,45,73,46,0,67,190,203,3182,0.86
53033008100,"Census Tract 81, King County, Washington",4908,2957,1951,883,3454,386,63,536,164,143,64,52,70,10,0,125,344,420,4271,0.87
53033008200,"Census Tract 82, King County, Washington",4276,2271,2005,708,2673,285,0,957,406,258,55,45,33,40,0,59,302,148,3471,0.87
53033008300,"Census Tract 83, King County, Washington",3195,1679,1516,678,2100,175,43,762,297,273,27,18,94,15,0,65,50,228,2505,0.81
53033008400,"Census Tract 84, King County, Washington",5089,2831,2258,532,3449,431,0,936,165,383,34,105,121,128,0,43,230,234,4365,0.91
53033008500,"Census Tract 85, King County, Washington",4297,2855,1442,941,2400,675,53,654,64,162,151,26,65,133,27,148,340,385,3737,0.43
53033008600,"Census Tract 86, King County, Washington",6474,3260,3214,251,4024,460,28,1299,90,431,200,18,186,206,17,225,421,822,5469,0.68
53033008700,"Census Tract 87, King County, Washington",4442,2537,1905,329,2557,785,21,445,42,128,75,61,29,73,10,90,534,409,3461,0.87
